Number,Link,Text
1,https://ek.ua/ua/,
2,,Укр
3,/en/k171.htm,Eng
4,/k171.htm,Рус
5,/ua/k119.htm,Гаджети
6,/ua/k122.htm,Смартфони
7,/ua/k447.htm,Чохли
8,/ua/k239.htm,Навушники
9,/ua/k745.htm,Смартгодинники і браслети
10,/ua/k699.htm,Powerbank
11,/ua/k41.htm,Портативні колонки
12,/ua/k695.htm,Action камери
13,/ua/k943.htm,Квадрокоптери
14,/ua/k32.htm,Карти пам'яті
15,/ua/k119.htm,Усі розділи
16,/ua/k169.htm,Комп'ютери
17,/ua/k298.htm,Ноутбуки
18,/ua/k30.htm,Планшети
19,/ua/k33.htm,Приставки
20,/ua/k157.htm,Монітори
